objectid,objectnumber,classification,culture,division,title,accessionyear,placeid,placename,lat,lon,personid,personculture,personname,personrole,uniquepageviews_2008,uniquepageviews_2009,uniquepageviews_2010,uniquepageviews_2011,uniquepageviews_2012,uniquepageviews_2013,uniquepageviews_2014,uniquepageviews_2015,uniquepageviews_2016,uniquepageviews_2017,uniquepageviews_2018,edits_2008,edits_2009,edits_2010,edits_2011,edits_2012,edits_2013,edits_2014,edits_2015,edits_2016,edits_2017,edits_2018,studycenterviews_2008,studycenterviews_2009,studycenterviews_2010,studycenterviews_2011,studycenterviews_2012,studycenterviews_2013,studycenterviews_2014,studycenterviews_2015,studycenterviews_2016,studycenterviews_2017,studycenterviews_2018,conservation_2008,conservation_2009,conservation_2010,conservation_2011,conservation_2012,conservation_2013,conservation_2014,conservation_2015,conservation_2016,conservation_2017,conservation_2018,pageviews_2008,pageviews_2009,pageviews_2010,pageviews_2011,pageviews_2012,pageviews_2013,pageviews_2014,pageviews_2015,pageviews_2016,pageviews_2017,pageviews_2018,moves_2008,moves_2009,moves_2010,moves_2011,moves_2012,moves_2013,moves_2014,moves_2015,moves_2016,moves_2017,moves_2018
336809,2010.449.16,Prints,American,Modern and Contemporary Art,Canto XVI,2010,0,,0,0,28223,American,Robert Rauschenberg,Artist,,,,,,,,10,1,5,1,,,3,0,1,3,,,,,,,,,,,,,1,0,0,1,,,,,1,,,,,,,,,,,,,,10,1,5,1,,,1,0,0,0,0,2,0,5,
336823,2010.449.30,Prints,American,Modern and Contemporary Art,Canto XXX,2010,0,,0,0,28223,American,Robert Rauschenberg,Artist,,,,,2,5,1,10,11,8,6,,,3,0,1,3,,,,,,,,,,,,,1,0,0,1,,,,,1,,,,,,,,,,,2,6,1,10,14,8,6,,,1,0,0,0,0,2,0,5,
336827,2010.449.34,Prints,American,Modern and Contemporary Art,Canto XXXIV,2010,0,,0,0,28223,American,Robert Rauschenberg,Artist,,,,,1,1,0,10,1,6,13,,,3,0,1,3,,,,,,,,,,,,,1,0,1,,,,,,1,,,,,,,,,,,1,1,0,10,1,6,14,,,1,0,0,0,0,2,0,4,2
337320,2011.8.2,Photographs,American,Modern and Contemporary Art,Anthrax,2011,2028450,"North America, United States, California",37,-119,18652,American,Dennis Oppenheim,Artist,,,,1,2,9,2,8,23,4,6,,,,11,1,1,,,,,,,,,1,0,0,0,1,,,,,,,,,,,,,,,,,,2,4,12,2,9,26,6,7,,,,4,5,0,4,9,3,,
337323,2011.8.5,Photographs,American,Modern and Contemporary Art,Mind Twist,2011,2028275,"North America, United States, New York State",43,-75,18652,American,Dennis Oppenheim,Artist,,,,2,1,1,3,5,10,2,2,,,,11,1,1,,,,,,,,,1,0,0,0,1,,,,,,,,,,,,,,,,,,4,2,1,3,5,12,2,2,,,,4,0,0,6,6,6,,
337326,2011.8.8,Photographs,American,Modern and Contemporary Art,Trench Fever,2011,2036279,"North America, United States, New Jersey, Newark",40.733,-74.166,18652,American,Dennis Oppenheim,Artist,,,,1,2,2,4,15,4,5,2,,,,11,1,5,,,,,,,,,1,0,0,0,1,,,,,,,,,,,,,,,,,,2,3,7,5,20,7,5,2,,,,4,0,0,6,6,5,,
339874,2012.26,Photographs,American,Modern and Contemporary Art,Many in the movement believe an organized effort is underway to depopulate black areas of the South,2012,0,,0,0,34129,American,Danny Lyon,Artist,,,,,,,,,,1,,,,,,21,2,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,11,2,7,4,0,15,
339883,2012.3,Photographs,American,Modern and Contemporary Art,Sheriff Jim Clark arrests two demonstrators who displayed placards on the steps of the federal building in Selma,2012,0,,0,0,34129,American,Danny Lyon,Artist,,,,,1,0,3,1,1,7,3,,,,,21,2,1,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,1,0,3,1,1,10,5,,,,,11,2,7,4,0,17,4
339885,2012.32,Photographs,American,Modern and Contemporary Art,Entrance to the City Café,2012,0,,0,0,34129,American,Danny Lyon,Artist,,,,,,,,,,0,,,,,,21,0,1,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,11,2,7,4,0,14,
339892,2012.34,Photographs,American,Modern and Contemporary Art,"Atlanta, police car window",2012,0,,0,0,34129,American,Danny Lyon,Artist,,,,,1,1,0,1,3,,,,,,,22,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,1,0,1,4,,,,,,,18,2,7,4,0,17,
340155,2012.149,Sculpture,Uruguayan,Modern and Contemporary Art,Hop Hop!,2012,0,,0,0,21451,Argentinian,Carmelo Arden Quin,Artist,,,,,,2,3,4,3,5,3,,,,,35,1,0,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,6,5,3,6,3,,,,,12,0,2,0,0,16,
350530,2014.131,Audiovisual Works,German,Modern and Contemporary Art,Monotony is Nice,2014,0,,0,0,24666,German,Charlotte Posenenske,Artist,,,,,,,,12,32,25,11,,,,,,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,35,29,13,,,,,,,5,2,,,
97372,2003.2,Paintings,German,Modern and Contemporary Art,L'Or et le noir,2003,0,,0,0,28069,German,Otto Piene,Artist,,2,6,4,7,3,5,6,2,1,5,,,,,1,1,0,2,3,,,,,,,,,,1,4,1,,,,,,2,,,,,,,,3,14,8,15,3,5,6,3,1,6,,7,0,0,7,0,0,2,17,7,2
100655,49.2002,Photographs,American,Modern and Contemporary Art,Splitting,,2028213,"North America, United States",38,-98,22464,American,Gordon Matta-Clark,Artist,,7,10,4,2,4,1,1,2,3,,,1,0,0,2,1,,,,,,,,,,3,0,0,0,0,1,2,,,,,1,,,,,,,,7,15,8,6,4,1,1,2,3,,,3,0,0,22,9,0,0,0,10,8
176855,2000.299,Drawings,American,Modern and Contemporary Art,Untitled,2000,0,,0,0,29124,American,Cy Twombly,Artist,,3,1,1,1,4,1,1,1,,,,2,0,2,1,2,0,2,,,,,,,1,0,0,0,0,0,1,1,,,,,,,,,,,,,3,2,2,2,5,1,1,1,,,,5,1,6,0,0,5,0,0,4,8
